Unnamed: 0,LSTM,LSTM Transfer Learning,LSTM Hybrid,LSTM Transfer Learning Hybrid,XGBRFRegressor,XGBRegressor,GaussianProcessRegressor,MLPRegressor,RadiusNeighborsRegressor,RandomForestRegressor,HistGradientBoostingRegressor,GradientBoostingRegressor,AdaBoostRegressor,ExtraTreesRegressor,DecisionTreeRegressor,LinearSVR,LinearRegression,Ridge,Lasso,BayesianRidge,OrthogonalMatchingPursuit,ARDRegression,LogisticRegression,GammaRegressor,TweedieRegressor,PassiveAggressiveRegressor,TheilSenRegressor,SARIMAX
mse,3246521.2067272635,3238563.804480898,246388.3586434854,2520832.128140796,14346.92475925684,9101.137881371566,560672.6724972668,1157210.9302037484,9101.05,12047.403389999998,425482.4724,9350.438805812986,16670.718735575258,9101.05,9101.05,251983.4850148196,62520.022444938695,65773.98494356169,62594.99849678807,234494.37207846064,227032.46467174665,62023.64054761896,97598.25,172074.29952639603,160667.0491064076,804051.75069434,61387.80391514509,454473.4999999998
mae,1684.3813783109188,1682.1411148667337,386.7705780029297,1454.2121810913086,90.91585693359374,69.95014953613281,694.9215143925248,1009.0066234881384,69.95,78.65199999999999,614.1779999999999,70.12351572875528,95.4976352813853,69.95,69.95,406.3159236100846,189.29837380623647,205.07878714798056,190.4644953640422,436.1725975269636,422.86968584472606,196.10081887990847,183.95,362.8571950733052,354.8169659131372,769.2396024528541,187.1683228026506,627.9999999999998
rmse,1801.8105357465483,1799.601012580538,496.3752196106141,1587.7128607342058,119.7786490124882,95.39988407420402,748.7807906839403,1075.7373890516906,95.39942347834184,109.76066412882166,652.2901749988267,96.69766701328936,129.1151375152242,95.39942347834184,95.39942347834184,501.97956633195696,250.0400416832046,256.46439313004385,250.18992485067832,484.2461895342705,476.4792384477488,249.04545879742307,312.40718621696266,414.818393428252,400.832944138088,896.6893278579488,247.7656229486752,674.1464974321233
mape,0.9989701180473974,0.99728432941154,0.520680986998904,0.8257687840683805,0.0589584089963574,0.0389208866605668,0.4094392124921341,0.6636260802496279,0.0389207757129735,0.0441390929763693,0.5181192683509392,0.039392586178555,0.0586176283780348,0.0389207757129735,0.0389207757129735,0.2423119624593213,0.1328392415810017,0.1431171849171301,0.1333798284964776,0.3192775758083691,0.304913296882995,0.1366534396056709,0.1102876964728926,0.2520434833146288,0.2710794533436403,0.3964941239381578,0.1318495551898009,0.4393023666039819
r2,-6.931195118987185,-6.911755323021764,0.3980775041915068,-5.1583492598377365,0.9649507111220132,0.9777660776734216,-0.3697136350889678,-1.827046274101738,0.9777662923660914,0.9705684020282254,-0.0394463160508085,0.977157039829778,0.9592737226568469,0.9777662923660914,0.9777662923660914,0.3844087073037833,0.8472646672300257,0.8393152931637271,0.847081502033003,0.4271343075151231,0.4453636181630348,0.8484773196140662,0.7615691644281566,0.5796254644266852,0.6074931797721459,-0.9642845108498876,0.8500306575024805,-0.1102708947164539
mse,1142387.7132204012,1132441.7360724944,346377.60095078027,540171.3865495808,393741.8800341092,398112.8830191455,88672.56542505197,7983318.425577724,397377.05,387543.293555,573314.6744878279,399734.7350958178,426061.54840139,397377.05,397377.05,562368.0652463337,471690.4184797014,466299.11799228576,470333.85549934674,444716.2098662948,441715.5072486714,371061.5091812011,490276.6,381494.11862993526,374226.5447557637,132557.41928167484,873404503.6818116,709136.3963031546
mae,940.692577767372,935.20959649086,426.6573280334472,628.9167907714843,535.6766738891602,532.8724723815918,225.5340440534448,2238.105327785737,527.55,541.4645,684.616901956829,548.1804611747403,552.1541036414565,527.55,527.55,664.1885948398892,600.3751399372683,604.2449841342343,602.9210981213276,619.2787865675944,617.0540671498007,530.5802684148337,596.3,563.5009903870044,575.4940903966171,282.08434553418806,7218.975937201957,724.9984466599988
rmse,1068.8253894909126,1064.1624575564083,588.5385297079371,734.9635273600867,627.4885497235063,630.9618712879135,297.77939053106405,2825.47667227633,630.3784974124673,622.5297531483938,757.1754581917113,632.2457869340197,652.7339032112474,630.3784974124673,630.3784974124673,749.9120383393866,686.7972178741709,682.8609799895479,685.8089059638601,666.8704595843894,664.616812342775,609.1481832700489,700.1975435546743,617.652101615412,611.7405861603133,364.0843573702046,29553.417800346066,842.1023668789649
mape,0.9908434047252432,0.9790509543398132,2.2395484725654806,2.403135452437308,0.8565581694022499,0.7924091999917543,0.2012470211005221,2.275424771049112,0.7647649823076255,0.8921276992849924,1.9761900822696847,0.8074813935786473,0.7907379398924106,0.7647649823076255,0.7647649823076255,1.0575401342822657,0.9672266981438256,0.99407796364788,0.9974602347576278,1.6228748050193285,1.581155559341512,0.843365674986201,0.9175881269170548,0.9657322664737036,1.045867705130641,0.6794520987085025,90.1750530017084,1.1261979516561496
r2,-3.4268907996201143,-3.3883489331243872,-0.342255170550545,-1.093229569664524,-0.5257974906211527,-0.5427356567758124,0.6563830654723247,-29.93632615235364,-0.5398842146736131,-0.5017772169982306,-1.221663826042664,-0.5490205300753737,-0.6510401213726311,-0.5398842146736131,-0.5398842146736131,-1.1792443889484052,-0.8278575212878625,-0.8069655786929553,-0.8226006753787725,-0.7233291947347869,-0.7117011085284797,-0.4379083056283686,-0.8998812265676872,-0.4783359312498294,-0.4501732019532809,0.486323939719914,-3383.548272841784,-1.7479894541412475
